"","weir","Trap_Year","Species","Moved To Facility","Biological Sampling","Brood Stock","Distribution","Fisheries","General Holding","Natural Spawning","Nutrient Enhancement","Other","Recycled","Stray Relocation","Stray Removal","Stray Removal Distribution","Unknown","Within FINS Facility","Trap Mort","DOA","Killed","total_morts"
"44","Johnson Creek Weir",2003,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,1
"45","Johnson Creek Weir",2004,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,34,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"46","Johnson Creek Weir",2004,"Chinook","McCall Fish Hatchery",NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Johnson Creek Weir",2004,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,325,1,NA,NA,NA,16,1,NA,NA,1,0,17,18
"48","Johnson Creek Weir",2004,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,50,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"49","Johnson Creek Weir",2004,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Johnson Creek Weir",2005,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Johnson Creek Weir",2005,"Chinook","McCall Fish Hatchery",NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Johnson Creek Weir",2005,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,126,NA,NA,NA,NA,3,NA,NA,NA,0,0,3,3
"53","Johnson Creek Weir",2005,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Johnson Creek Weir",2005,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Johnson Creek Weir",2006,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Johnson Creek Weir",2006,"Chinook","McCall Fish Hatchery",NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Johnson Creek Weir",2006,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,140,1,NA,NA,NA,10,2,NA,NA,1,0,12,13
"58","Johnson Creek Weir",2006,"Cutthroat","NPT JCAPE Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Johnson Creek Weir",2006,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Johnson Creek Weir",2006,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"61","Johnson Creek Weir",2007,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Johnson Creek Weir",2007,"Chinook","McCall Fish Hatchery",NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Johnson Creek Weir",2007,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,331,NA,NA,NA,NA,12,NA,NA,NA,0,0,12,12
"64","Johnson Creek Weir",2007,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Johnson Creek Weir",2008,"Chinook","McCall Fish Hatchery",NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Johnson Creek Weir",2008,"Chinook","NPT JCAPE Program",NA,NA,50,NA,NA,619,1,NA,NA,NA,6,15,NA,NA,1,0,71,72
"67","Johnson Creek Weir",2008,"Cutthroat","NPT JCAPE Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Johnson Creek Weir",2008,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Johnson Creek Weir",2009,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Johnson Creek Weir",2009,"Chinook","McCall Fish Hatchery",NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Johnson Creek Weir",2009,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,822,5,NA,NA,NA,16,11,NA,NA,5,0,27,32
"72","Johnson Creek Weir",2009,"Cutthroat","NPT JCAPE Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Johnson Creek Weir",2009,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Johnson Creek Weir",2009,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Johnson Creek Weir",2010,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Johnson Creek Weir",2010,"Chinook","McCall Fish Hatchery",NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Johnson Creek Weir",2010,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,963,NA,NA,NA,NA,24,12,NA,NA,0,0,36,36
"78","Johnson Creek Weir",2010,"Cutthroat","NPT JCAPE Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Johnson Creek Weir",2010,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Johnson Creek Weir",2010,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,2,0,2
"81","Johnson Creek Weir",2011,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Johnson Creek Weir",2011,"Chinook","McCall Fish Hatchery",NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Johnson Creek Weir",2011,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,721,1,NA,NA,NA,73,85,NA,NA,1,0,158,159
"84","Johnson Creek Weir",2011,"Cutthroat","NPT JCAPE Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Johnson Creek Weir",2011,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Johnson Creek Weir",2012,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Johnson Creek Weir",2012,"Chinook","McCall Fish Hatchery",NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Johnson Creek Weir",2012,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,649,1,NA,NA,NA,3,10,NA,NA,1,0,13,14
"89","Johnson Creek Weir",2012,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Johnson Creek Weir",2012,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,0,1
"91","Johnson Creek Weir",2013,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Johnson Creek Weir",2013,"Chinook","McCall Fish Hatchery",NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Johnson Creek Weir",2013,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,910,1,NA,NA,1,8,6,NA,NA,1,0,14,15
"94","Johnson Creek Weir",2013,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Johnson Creek Weir",2013,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,0,2,0,2
"96","Johnson Creek Weir",2014,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Johnson Creek Weir",2014,"Chinook","NPT JCAPE Program",NA,36,NA,NA,NA,1505,1,NA,NA,NA,15,NA,NA,NA,1,0,15,16
"98","Johnson Creek Weir",2014,"Chinook","Rapid River Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA
"99","Johnson Creek Weir",2014,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Johnson Creek Weir",2014,"Rainbow Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Johnson Creek Weir",2015,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Johnson Creek Weir",2015,"Chinook","McCall Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA,NA,NA,NA
"103","Johnson Creek Weir",2015,"Chinook","NPT JCAPE Program",NA,NA,NA,NA,NA,896,NA,NA,NA,NA,25,NA,NA,NA,0,0,25,25
"104","Johnson Creek Weir",2015,"Chinook","Rapid River Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA
"105","Johnson Creek Weir",2015,"Cutthroat","NPT JCAPE Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Johnson Creek Weir",2015,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Johnson Creek Weir",2015,"Steelhead","NPT JCAPE Program",NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,0,14,0,14
"108","Johnson Creek Weir",2016,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Johnson Creek Weir",2016,"Chinook","NPT JCAPE Program",NA,67,NA,NA,NA,625,NA,NA,NA,NA,10,NA,NA,NA,0,0,10,10
"110","Johnson Creek Weir",2016,"Cutthroat","NPT JCAPE Program",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Johnson Creek Weir",2016,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Johnson Creek Weir",2017,"Bull Trout","NPT JCAPE Program",NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Johnson Creek Weir",2017,"Chinook","NPT JCAPE Program",NA,61,NA,NA,NA,354,NA,NA,NA,NA,13,NA,NA,NA,0,0,13,13
"114","Johnson Creek Weir",2017,"Cutthroat","NPT JCAPE Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Johnson Creek Weir",2017,"Mtn White Fish","NPT JCAPE Program",NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Joseph Creek Weir",2011,"Bridge Lip Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,1255,10,NA,NA,NA,NA,NA,NA,NA,10,0,0,10
"117","Joseph Creek Weir",2011,"Chisel Mouth","NPT JCEM Program",NA,NA,NA,NA,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Joseph Creek Weir",2011,"Largescale Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Joseph Creek Weir",2011,"Northern Pike Minnow","NPT JCEM Program",NA,NA,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Joseph Creek Weir",2011,"Peamouth","NPT JCEM Program",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Joseph Creek Weir",2011,"Rainbow Trout","NPT JCEM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Joseph Creek Weir",2011,"Smallmouth Bass","NPT JCEM Program",NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Joseph Creek Weir",2011,"Steelhead","NPT JCEM Program",2,NA,NA,NA,NA,300,57,NA,NA,NA,NA,NA,NA,NA,3,54,2,59
"124","Joseph Creek Weir",2012,"Bridge Lip Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,4336,195,NA,NA,NA,NA,NA,NA,NA,12,183,0,195
"125","Joseph Creek Weir",2012,"Bull Trout","NPT JCEM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Joseph Creek Weir",2012,"Chinook","NPT JCEM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","Joseph Creek Weir",2012,"Chisel Mouth","NPT JCEM Program",NA,NA,NA,NA,NA,1139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Joseph Creek Weir",2012,"Largescale Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,5051,187,NA,NA,NA,NA,NA,NA,NA,0,187,0,187
"129","Joseph Creek Weir",2012,"Mtn White Fish","NPT JCEM Program",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Joseph Creek Weir",2012,"Northern Pike Minnow","NPT JCEM Program",NA,NA,NA,NA,NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Joseph Creek Weir",2012,"Peamouth","NPT JCEM Program",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Joseph Creek Weir",2012,"Rainbow Trout","NPT JCEM Program",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","Joseph Creek Weir",2012,"Smallmouth Bass","NPT JCEM Program",NA,NA,NA,NA,NA,588,14,NA,NA,NA,NA,NA,NA,NA,13,1,0,14
"134","Joseph Creek Weir",2012,"Steelhead","NPT JCEM Program",1,NA,NA,NA,NA,632,95,NA,NA,NA,NA,NA,NA,NA,4,91,1,96
"135","Joseph Creek Weir",2013,"Bridge Lip Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,9339,322,NA,NA,NA,NA,NA,NA,NA,52,270,0,322
"136","Joseph Creek Weir",2013,"Bullhead Sp.","NPT JCEM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Joseph Creek Weir",2013,"Chisel Mouth","NPT JCEM Program",NA,NA,NA,NA,NA,779,599,NA,NA,NA,NA,NA,NA,NA,3,596,0,599
"138","Joseph Creek Weir",2013,"Hybrid Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Joseph Creek Weir",2013,"Largescale Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,2948,19,NA,NA,NA,NA,NA,NA,NA,9,10,0,19
"140","Joseph Creek Weir",2013,"Mtn White Fish","NPT JCEM Program",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Joseph Creek Weir",2013,"Northern Pike Minnow","NPT JCEM Program",NA,NA,NA,NA,NA,994,49,NA,NA,NA,NA,NA,NA,NA,1,48,0,49
"142","Joseph Creek Weir",2013,"Rainbow Trout","NPT JCEM Program",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Joseph Creek Weir",2013,"Smallmouth Bass","NPT JCEM Program",NA,NA,NA,NA,NA,635,11,NA,NA,NA,NA,NA,NA,NA,8,3,0,11
"144","Joseph Creek Weir",2013,"Steelhead","NPT JCEM Program",9,NA,NA,NA,NA,2389,145,NA,NA,NA,NA,NA,NA,NA,0,145,9,154
"145","Joseph Creek Weir",2014,"Bridge Lip Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Joseph Creek Weir",2014,"Largescale Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Joseph Creek Weir",2014,"Rainbow Trout","NPT JCEM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Joseph Creek Weir",2014,"Steelhead","NPT JCEM Program",NA,NA,NA,NA,NA,147,3,NA,NA,NA,NA,NA,NA,NA,0,3,0,3
"149","Joseph Creek Weir",2015,"Bridge Lip Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,1683,3,NA,NA,NA,NA,NA,NA,NA,3,0,0,3
"150","Joseph Creek Weir",2015,"Chisel Mouth","NPT JCEM Program",NA,NA,NA,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Joseph Creek Weir",2015,"Largescale Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Joseph Creek Weir",2015,"Northern Pike Minnow","NPT JCEM Program",NA,NA,NA,NA,NA,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Joseph Creek Weir",2015,"Rainbow Trout","NPT JCEM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Joseph Creek Weir",2015,"Smallmouth Bass","NPT JCEM Program",NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Joseph Creek Weir",2015,"Steelhead","NPT JCEM Program",4,NA,NA,NA,NA,3056,126,NA,NA,NA,NA,NA,NA,NA,0,126,4,130
"156","Joseph Creek Weir",2016,"Bridge Lip Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,4082,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"157","Joseph Creek Weir",2016,"Chisel Mouth","NPT JCEM Program",NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Joseph Creek Weir",2016,"Largescale Sucker","NPT JCEM Program",NA,NA,NA,NA,NA,1253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Joseph Creek Weir",2016,"Mtn White Fish","NPT JCEM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Joseph Creek Weir",2016,"Northern Pike Minnow","NPT JCEM Program",NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Joseph Creek Weir",2016,"Rainbow Trout","NPT JCEM Program",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Joseph Creek Weir",2016,"Smallmouth Bass","NPT JCEM Program",NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Joseph Creek Weir",2016,"Steelhead","NPT JCEM Program",5,NA,NA,NA,NA,1393,100,NA,NA,NA,NA,NA,NA,NA,1,99,5,105
"164","Lolo Creek Weir",2003,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Lolo Creek Weir",2004,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Lolo Creek Weir",2005,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,26,2,NA,NA,NA,NA,NA,NA,NA,2,0,0,2
"167","Lolo Creek Weir",2006,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Lolo Creek Weir",2007,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Lolo Creek Weir",2008,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Lolo Creek Weir",2009,"Chinook","NPTH M&E Program",NA,NA,2,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,2
"171","Lolo Creek Weir",2010,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"172","Lolo Creek Weir",2011,"Chinook","NPTH M&E Program",NA,NA,21,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,0,0,21,21
"173","Lolo Creek Weir",2012,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
