"","weir","Trap_Year","Species","Moved To Facility","Biological Sampling","Brood Stock","Distribution","Fisheries","General Holding","Natural Spawning","Nutrient Enhancement","Other","Recycled","Stray Relocation","Stray Removal","Stray Removal Distribution","Unknown","Within FINS Facility","Trap Mort","DOA","Killed","total_morts"
"174","Lolo Creek Weir",2013,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Lolo Creek Weir",2014,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Lolo Creek Weir",2015,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,173,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Lolo Creek Weir",2016,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Lolo Creek Weir",2017,"Chinook","NPTH M&E Program",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Lostine River Weir",1997,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"180","Lostine River Weir",1997,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Lostine River Weir",1998,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Lostine River Weir",1998,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"183","Lostine River Weir",1998,"Chinook","NPT GRSME Program",NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1
"184","Lostine River Weir",1998,"Mtn White Fish","NPT GRSME Program",NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Lostine River Weir",1998,"Rainbow Trout","NPT GRSME Program",NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Lostine River Weir",1999,"Bull Trout","NPT GRSME Program",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Lostine River Weir",1999,"Chinook","Lookingglass Fish Hatchery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
